user,mention,tweet_id,date
tatyts,cvmacedog,963422707521028096,Tue Feb 13 14:40:47 +0000 2018
candy_Daehwi,sydwb_227,963422648993693696,Tue Feb 13 14:40:33 +0000 2018
Arctic_ACi,hightaec,963422610745909248,Tue Feb 13 14:40:24 +0000 2018
861026,redparco,963422599291183104,Tue Feb 13 14:40:21 +0000 2018
daunegnc,NBCOlympics,963422566236016640,Tue Feb 13 14:40:13 +0000 2018
candy_Daehwi,BANGTO_ARI_24,963422565304643589,Tue Feb 13 14:40:13 +0000 2018
candy_Daehwi,1999jieun,963422530328342528,Tue Feb 13 14:40:05 +0000 2018
easilyshookbad,SUNGJINOPPA,963422433691627520,Tue Feb 13 14:39:42 +0000 2018
candy_Daehwi,hwively_bnm,963422404612534272,Tue Feb 13 14:39:35 +0000 2018
dudnjs0105,ekxlom,963422378951766017,Tue Feb 13 14:39:29 +0000 2018
bidan04,weareoneEXO,963422339399483393,Tue Feb 13 14:39:19 +0000 2018
candy_Daehwi,MXMping,963422309175316480,Tue Feb 13 14:39:12 +0000 2018
yeung333,cj9854,963422229055791104,Tue Feb 13 14:38:53 +0000 2018
CarlosWTHR,SavannahGuthrie,963422136718127104,Tue Feb 13 14:38:31 +0000 2018
CarlosWTHR,hodakotb,963422136718127104,Tue Feb 13 14:38:31 +0000 2018
Clive_Headliner,longpig_recipe,963422033244708864,Tue Feb 13 14:38:06 +0000 2018
cvmacedog,lulgomes,963422028580536320,Tue Feb 13 14:38:05 +0000 2018
candy_Daehwi,Dear_brandnews,963421932342276096,Tue Feb 13 14:37:42 +0000 2018
nulimen1,ppptec,963421907876921346,Tue Feb 13 14:37:37 +0000 2018
sm070221,redparco,963421748937998336,Tue Feb 13 14:36:59 +0000 2018
LucsNeuss,LETAsportsEXTRA,963421721436057600,Tue Feb 13 14:36:52 +0000 2018
OopsURwrong,hightaec,963421607183224832,Tue Feb 13 14:36:25 +0000 2018
BrianCurtisNBC5,NBCDFW,963421602107895808,Tue Feb 13 14:36:24 +0000 2018
choiceyoonsikk,Sys7176,963421589936074752,Tue Feb 13 14:36:21 +0000 2018
TusinwRiga,LETAsportsEXTRA,963421455122882560,Tue Feb 13 14:35:49 +0000 2018
longpig_recipe,Clive_Headliner,963421442426548224,Tue Feb 13 14:35:46 +0000 2018
yeajin6636,hjpaak,963421428698693632,Tue Feb 13 14:35:42 +0000 2018
Saguajam,aabin1036,963421403973210113,Tue Feb 13 14:35:36 +0000 2018
koichan_1227,hightaec,963421330631663617,Tue Feb 13 14:35:19 +0000 2018
TeamBernard,LKLawes,963421324151533568,Tue Feb 13 14:35:17 +0000 2018
TeamBernard,johnnymocurler,963421324151533568,Tue Feb 13 14:35:17 +0000 2018
hottestbrolamp,hightaec,963421280916549633,Tue Feb 13 14:35:07 +0000 2018
hottestbrolamp,taeccool,963421280916549633,Tue Feb 13 14:35:07 +0000 2018
hottestbrolamp,hightaec,963421257537437697,Tue Feb 13 14:35:01 +0000 2018
0707x0826,longpig_recipe,963421255004073984,Tue Feb 13 14:35:01 +0000 2018
spiritfair,Sys7176,963421221617524736,Tue Feb 13 14:34:53 +0000 2018
ericseals,DavidNakamura,963421162507137024,Tue Feb 13 14:34:39 +0000 2018
candy_Daehwi,991102_oohahh,963420875704823809,Tue Feb 13 14:33:30 +0000 2018
hightaec,EltonCastee,963420869350408198,Tue Feb 13 14:33:29 +0000 2018
chaeshik007,hjpaak,963420814967169024,Tue Feb 13 14:33:16 +0000 2018
candy_Daehwi,Dear_brandnews,963420814954545152,Tue Feb 13 14:33:16 +0000 2018
AaronBenRose,cbrennansports,963420732171599872,Tue Feb 13 14:32:56 +0000 2018
candy_Daehwi,Luminous_daehwi,963420722977685506,Tue Feb 13 14:32:54 +0000 2018
joelle10021,redparco,963420670485938176,Tue Feb 13 14:32:41 +0000 2018
frend_11,redparco,963420645152374784,Tue Feb 13 14:32:35 +0000 2018
ASkolmeistars,LETAsportsEXTRA,963420639922151424,Tue Feb 13 14:32:34 +0000 2018
kynam25k,nulimen1,963420590659944451,Tue Feb 13 14:32:22 +0000 2018
dang2thedang,redparco,963420552818864128,Tue Feb 13 14:32:13 +0000 2018
Haeseonge,hjpaak,963420529490255874,Tue Feb 13 14:32:08 +0000 2018
annoyingfemi1,redparco,963420444203208704,Tue Feb 13 14:31:48 +0000 2018
letanewslv,LETAsportsEXTRA,963420401635332096,Tue Feb 13 14:31:37 +0000 2018
iamjoonlee,alyssa_marino,963420346555678720,Tue Feb 13 14:31:24 +0000 2018
iamjoonlee,KardashianBlakk,963420294902816769,Tue Feb 13 14:31:12 +0000 2018
iamjoonlee,jaketapper,963420294902816769,Tue Feb 13 14:31:12 +0000 2018
iamjoonlee,Delta,963420294902816769,Tue Feb 13 14:31:12 +0000 2018
iamjoonlee,LGAairport,963420294902816769,Tue Feb 13 14:31:12 +0000 2018
lp_lorpor,SUNGJINOPPA,963420281342586885,Tue Feb 13 14:31:09 +0000 2018
IvyWong1214,hightaec,963420217391984640,Tue Feb 13 14:30:53 +0000 2018
yws317,cj9854,963420178456330240,Tue Feb 13 14:30:44 +0000 2018
gelin0131,NCTsmtown,963420130804867075,Tue Feb 13 14:30:33 +0000 2018
861026,redparco,963420083144966144,Tue Feb 13 14:30:21 +0000 2018
iamjoonlee,alyssa_marino,963420079458103297,Tue Feb 13 14:30:21 +0000 2018
KateLiberal,sofia_ralli,963420047233478658,Tue Feb 13 14:30:13 +0000 2018
TuckerWest1,J_Richardson12,963420034444873729,Tue Feb 13 14:30:10 +0000 2018
Clive_Headliner,longpig_recipe,963419968762085378,Tue Feb 13 14:29:54 +0000 2018
Clive_Headliner,cyp_bot_list,963419968762085378,Tue Feb 13 14:29:54 +0000 2018
davidcbenedict,ApoloOhno,963419905151389696,Tue Feb 13 14:29:39 +0000 2018
davidcbenedict,Olympics,963419905151389696,Tue Feb 13 14:29:39 +0000 2018
iamjoonlee,jaketapper,963419896657817601,Tue Feb 13 14:29:37 +0000 2018
IvyWong1214,hightaec,963419802202095616,Tue Feb 13 14:29:14 +0000 2018
TuckerWest1,orzelc,963419793276616705,Tue Feb 13 14:29:12 +0000 2018
cheIbum,hightaec,963419701509611521,Tue Feb 13 14:28:50 +0000 2018
ppowderr,hightaec,963419652897427458,Tue Feb 13 14:28:39 +0000 2018
mkp0220,redparco,963419156283514881,Tue Feb 13 14:26:40 +0000 2018
TSNScianitti,TSN_Sports,963418970949931009,Tue Feb 13 14:25:56 +0000 2018
catyeons,hightaec,963418944869560320,Tue Feb 13 14:25:50 +0000 2018
catyeons,taeccool,963418944869560320,Tue Feb 13 14:25:50 +0000 2018
BraveRebelxx,doIanstrilogy,963418889328775176,Tue Feb 13 14:25:37 +0000 2018
skalC9020,redparco,963418678761959424,Tue Feb 13 14:24:47 +0000 2018
kynam25k,hjpaak,963418666409738240,Tue Feb 13 14:24:44 +0000 2018
sp_iris,sofia_ralli,963418630389227520,Tue Feb 13 14:24:35 +0000 2018
ExGDym0o6in1iVy,bestlovedol_bts,963418497551253504,Tue Feb 13 14:24:03 +0000 2018
